"DATA","HORÁRIO","BLOCO","LOCAL DA CONCETRAÇÃO","RITMOS","TAMANHO PÚBLICO","LGBT"
"31/01","09h","Grande Bloco do Encontro - Parque Ja","Praça Apa, Jardim América","AXÉ, FUNK, ROCK, MPB, FORRÓ, PAGODE, SAMBA, POP, OUTROS, AFRO","Pequeno",""
"31/01","09h","Tchanzinho Zona Norte","R. Julio Ferraz, 41, Liberdade","AXÉ, OUTROS","Grande","🏳️‍🌈"
"31/01","09h30","Bloco da Floresta","R. Deputado Bernardino de Sena Figueiredo, 961, Cidade Nova","MARCHINHA, OUTROS
","Pequeno",""
"31/01","09h30","Buritis de Guimarães Rosa","R. Juvenal Melo Senra, 385, Belvedere","AXÉ, MPB, FORRÓ, MARCHINHA, AFRO","Pequeno",""
"31/01","10h","Vai Dá Não, Bacana!","R. João de Freitas, 122, Santo Antônio","AXÉ, MPB, MARCHINHA
","Pequeno",""
"31/01","11h","Bloco Belopirô","Alameda das Palmeiras, 921, São José","AXÉ, OUTROS
","Pequeno",""
"31/01","11h","Bloco Menina Má","Av. dos Engenheiros, 718, Castelo","FUNK","Pequeno",""
"31/01","11h","Calma Moça","R. Herculano de Freitas, 895, Gutierrez","AXÉ, MPB, FORRÓ, PAGODE, SAMBA, SERTANEJO, MARCHINHA
","Pequeno",""
"31/01","11h","Trema na Linguiça","R. Benvinda de Carvalho, 320, Santo Antônio","AXÉ, SAMBA, MARCHINHA","Médio",""
"31/01","12h","Pata de Leão","Praça México, Concórdia","AFRO, OUTROS","Médio","🏳️‍🌈"
"31/01","13h","Bloquinho","R. Oeste, 650, Calafate","MPB, POP, MARCHINHA, OUTROS","Pequeno",""
"31/01","13h","Surtabloco","Praça Toscana, 744, Bandeirantes","AXÉ, FUNK, POP","Pequeno","🏳️‍🌈"
"31/01","13h","Tapa de Mina","R. Maria Carmem Valadares, 194, Santa Efigênia","AXÉ, FUNK, MPB, SAMBA, SERTANEJO, POP, MARCHINHA, OUTROS, AFRO","Médio",""
"31/01","13h30","Bloco Pé com Pé","Praça Chico Pereira, Dom Cabral","AXÉ, MPB, POP, MARCHINHA, OUTROS","Pequeno",""
